cluster,auc,pre_micro,pre_macro
0,0.9524323181049069,0.35984858364262984,0.29923789805345197
1,0.8335858764662843,0.3443613715691994,
2,0.39785475646210655,0.5480248054942654,
3,0.5502178158329578,0.48694308889046245,
4,0.4435716443736439,0.5256411838888748,
5,0.4567844792216166,0.5170325194761796,
6,0.3515415239329691,0.5613732811893304,
7,0.32263155480111944,0.579030930310232,
8,0.6212799495586381,0.4510017673032044,
9,0.3909317389138017,0.5433114796722154,
10,0.38785911058638334,0.5539964756318874,
11,0.44615850842761484,0.5232031014302663,
12,0.3304399688030463,0.5748517496433756,
13,0.3503194420022273,0.5497721011454837,
14,0.33433417614833544,0.5705843922540005,
15,0.4839803282504947,0.5054463638223095,
16,0.4033054822632659,0.5364832321074176,
17,0.4347119815668202,0.524892717710451,
18,0.36137928453824275,0.5596100204904485,
19,0.5455770094297261,0.4791281987380629,
20,0.7395089285714287,0.3957593293474323,
21,0.5214107890097085,0.48341152098020623,
22,0.6997791529092778,0.4168852803574622,
23,0.41520392910527437,0.533146054108566,
24,0.6799032356765853,0.42823291897976257,
25,0.3616093957884113,0.5649162253142547,
26,0.3803212553212553,0.5489385959865908,
27,0.7800127713920817,0.38878905124993984,
